order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,customer_age,review_score
62147286,2024-01-01,Epson EcoTank ET-2850,299.0,1,PRINTERS,Epson,card,No,Scott Mcdonald,MALE,Birmingham,46,4
68496647,2024-01-01,Acer Swift 3,699.0,1,COMPUTERS,Acer,cash,No,Brenda Bond,FEMALE,Liverpool,52,4
14911293,2024-01-02,Lexmark MB3442adw,379.0,1,PRINTERS,Lexmark,apple_pay,No,Rebecca Hicks MD,FEMALE,Bristol,34,4
88647807,2024-01-02,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,google_pay,No,Mike Olson,MALE,Coventry,31,4
88276854,2024-01-02,Canon imageCLASS MF264dw,189.99,1,PRINTERS,Canon,qiwi,No,James Goodman,MALE,Liverpool,18,4
51575274,2024-01-03,Brother MFC-J4335DW,179.0,1,PRINTERS,Brother,google_pay,No,Kathryn Long,FEMALE,Sheffield,35,3
10262634,2024-01-03,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,card,No,Morgan Myers,FEMALE,Kingston upon Hull,49,4
28028802,2024-01-05,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,apple_pay,No,Kerry Thomas,MALE,Leicester,40,4
72456026,2024-01-07,HP Spectre x360,1199.99,1,COMPUTERS,HP,google_pay,No,Teresa Holmes,FEMALE,Liverpool,29,5
50781973,2024-01-07,Epson WorkForce WF-2930,149.0,1,PRINTERS,Epson,paypal,No,Dominique Vincent,FEMALE,Coventry,50,5
97803355,2024-01-08,Lenovo ThinkPad X1 Carbon,1499.0,1,COMPUTERS,Lenovo,qiwi,No,Lisa Vaughan,FEMALE,Birmingham,48,5
69828140,2024-01-09,Epson WorkForce WF-2930,149.0,1,PRINTERS,Epson,apple_pay,No,Amy Wallace,FEMALE,Birmingham,41,4
99774189,2024-01-09,Apple iPhone 15 Pro,999.0,1,PHONES,Apple,card,No,Michelle Washington,FEMALE,Bristol,18,4
