order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,review_score
96474136,2024-01-01,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,google_pay,No,Phillip Bryant,MALE,Glasgow,4
39743510,2024-01-02,Bose QuietComfort 45,329.99,1,HEADPHONES,Bose,paypal,No,Holly Cain,FEMALE,London,4
51902131,2024-01-03,Epson WorkForce WF-2930,149.0,1,PRINTERS,Epson,paypal,No,Mark Martinez,MALE,Manchester,5
31583084,2024-01-03,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,paypal,No,Juan Gardner,MALE,London,4
27582985,2024-01-05,Logitech G Pro X Wireless,201.52,1,HEADPHONES,Logitech,card,Yes,Sarah Bates,FEMALE,London,4
20629762,2024-01-06,Jabra Elite 7 Pro,199.0,1,HEADPHONES,Jabra,paypal,No,Adam Garcia,MALE,Aberdeen,4
58438381,2024-01-08,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,google_pay,No,Diana Freeman,FEMALE,Manchester,4
41318393,2024-01-08,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,qiwi,No,James Alexander,MALE,Manchester,4
78368071,2024-01-09,Dell XPS 13,1299.99,1,COMPUTERS,Dell,card,No,Cindy Davenport,FEMALE,London,4
51334727,2024-01-09,Acer Swift 3,615.12,1,COMPUTERS,Acer,cash,Yes,Spencer Smith,MALE,London,4
55983556,2024-01-09,Samsung Galaxy S24 Ultra,1199.99,1,PHONES,Samsung,qiwi,No,April Wilkinson,FEMALE,Manchester,5
75002015,2024-01-10,Xiaomi 14 Pro,699.0,1,PHONES,Xiaomi,google_pay,No,Travis Yates,MALE,London,3
97589464,2024-01-10,Kyocera ECOSYS P2235dw,199.0,1,PRINTERS,Kyocera,cash,No,Terri Gomez,FEMALE,Glasgow,5
77672704,2024-01-10,Google Pixel 8 Pro,879.12,1,PHONES,Google,paypal,Yes,Elizabeth Robinson,FEMALE,London,5
95601908,2024-01-10,"Apple iPad Pro 12.9""",1099.0,1,TABLETS,Apple,apple_pay,No,Michael Davis,MALE,London,3
85100879,2024-01-10,HP OfficeJet Pro 9015e,201.52,1,PRINTERS,HP,google_pay,Yes,Tara Peck,FEMALE,Manchester,4
31811040,2024-01-11,Sony WH-1000XM5,399.99,1,HEADPHONES,Sony,google_pay,No,John Martin,MALE,London,4
50034970,2024-01-12,Brother HL-L2350DW,149.99,1,PRINTERS,Brother,google_pay,No,Kevin Smith,MALE,London,5
91453426,2024-01-12,Sennheiser Momentum 4,349.99,1,HEADPHONES,Sennheiser,apple_pay,No,Nicole Townsend MD,FEMALE,Leeds,3
20674687,2024-01-12,HP OfficeJet Pro 9015e,229.0,1,PRINTERS,HP,paypal,No,Veronica Barnes,FEMALE,London,4
26589404,2024-01-13,Nothing Phone (2),599.0,1,PHONES,Nothing,card,No,Jessica Lawrence,FEMALE,Manchester,4
04661092,2024-01-14,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,google_pay,No,Elizabeth Hamilton,FEMALE,Glasgow,3
78504929,2024-01-14,Apple iPhone SE (2022),429.0,1,PHONES,Apple,paypal,No,Juan Cochran,MALE,Bristol,3
35896203,2024-01-15,Amazon Fire HD 10,149.99,1,TABLETS,Amazon,qiwi,No,Steven Peterson,MALE,London,5
41855744,2024-01-15,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,google_pay,No,Calvin Rowe,MALE,Brighton,3
89403662,2024-01-15,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,google_pay,No,Erik Cook,MALE,London,5
08369000,2024-01-15,Lexmark MB3442adw,379.0,1,PRINTERS,Lexmark,card,No,Brittney Miller,FEMALE,Manchester,5
03440575,2024-01-16,Google Pixel 8 Pro,999.0,1,PHONES,Google,google_pay,No,Stephen Rodriguez,MALE,London,2
