order_id,order_date,product_name,product_price,quantity,product_category,manufacturer,payment_method,discount_applied,customer_name,customer_gender,customer_city,review_score
76462528,2024-01-02,Microsoft Surface Pro 9,999.99,1,TABLETS,Microsoft,google_pay,No,Brian Smith,MALE,Stoke-on-Trent,5
49924640,2024-01-05,Anker Soundcore Life Q35,129.99,1,HEADPHONES,Anker,paypal,No,Antonio Mullins,MALE,Liverpool,4
87671322,2024-01-05,Apple AirPods Pro (2nd gen),249.0,1,HEADPHONES,Apple,google_pay,No,David Logan,MALE,Leicester,3
37859909,2024-01-05,Lenovo Tab P12 Pro,699.0,1,TABLETS,Lenovo,paypal,No,Christopher Stein,MALE,Manchester,5
88811482,2024-01-06,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,google_pay,No,Joseph Thompson,MALE,Manchester,3
81723911,2024-01-06,Beats Studio Pro,349.0,2,HEADPHONES,Beats,paypal,No,William Vega,MALE,Stoke-on-Trent,3
36571406,2024-01-07,Google Pixel 8 Pro,999.0,1,PHONES,Google,google_pay,No,Ryan Jenkins DDS,MALE,Sheffield,4
31133616,2024-01-08,Google Pixel 8 Pro,999.0,1,PHONES,Google,card,No,Kathy Crawford,FEMALE,Sheffield,3
46090133,2024-01-09,HP LaserJet Pro M404dn,229.99,1,PRINTERS,HP,apple_pay,No,James Wells,MALE,Manchester,4
52310560,2024-01-09,Kyocera ECOSYS P2235dw,187.06,1,PRINTERS,Kyocera,card,Yes,David Rosales,MALE,Leicester,4
24314855,2024-01-09,Lenovo ThinkPad X1 Carbon,1499.0,1,COMPUTERS,Lenovo,apple_pay,No,Jerry Bridges,MALE,Manchester,5
80236733,2024-01-10,"Apple MacBook Pro 14""",1999.99,1,COMPUTERS,Apple,paypal,No,Nathan Kim,MALE,Leicester,4
55277815,2024-01-12,Canon PIXMA TR8620a,199.99,1,PRINTERS,Canon,card,No,Randy Roberts,MALE,Manchester,4
84895448,2024-01-14,Lenovo ThinkPad X1 Carbon,1499.0,1,COMPUTERS,Lenovo,paypal,No,Mr. Jay Thomas DVM,MALE,Manchester,4
48151412,2024-01-16,HP Spectre x360,1199.99,1,COMPUTERS,HP,paypal,No,Pamela Simpson,FEMALE,Sheffield,3
25147438,2024-01-17,Motorola Edge 40 Pro,699.99,1,PHONES,Motorola,paypal,No,Laura Huber,FEMALE,Aberdeen,3
97983729,2024-01-17,"Apple iMac 24""",1299.0,1,COMPUTERS,Apple,google_pay,No,Robert Delgado,MALE,Nottingham,5
